description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Consumption for electricity generation (Btu) for all sectors,million MMBtu,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.CONS_EG_BTU..A,,,,,,,,,,,,,,,,,,,,,,,,,
United States : coal,million MMBtu,ELEC.CONS_EG_BTU.COW-US-99.A,19789,19997,20367,20376,20802,20527,20842,20549,18241,19196,18074,15867,16509,16472,14168,12980,12607,12037,10166,8224,9483,8868,7241,7013,7828
United States : petroleum liquids,million MMBtu,ELEC.CONS_EG_BTU.PEL-US-99.A,1237,835,1089,1032,1035,459,512,332,267,244,164,135,139,189,173,133,129,170,123,106,127,170,126,123,150
United States : petroleum coke,million MMBtu,ELEC.CONS_EG_BTU.PC-US-99.A,110,179,177,216,234,209,170,153,136,142,144,105,139,124,114,118,94,100,75,84,84,80,53,41,50
United States : natural gas,million MMBtu,ELEC.CONS_EG_BTU.NG-US-99.A,6001,6250,5736,5827,6212,6644,7288,7087,7302,7853,8052,9697,8813,8795,10361,10516,9828,11201,12008,12325,11893,12793,13685,14226,13800
New England,,ELEC.CONS_EG_BTU..A,,,,,,,,,,,,,,,,,,,,,,,,,
New England : coal,million MMBtu,ELEC.CONS_EG_BTU.COW-NEW-99.A,190,194,193,192,202,200,202,190,148,143,72,44,66,53,41,28,19,12,5,2,6,4,2,--,--
New England : petroleum liquids,million MMBtu,ELEC.CONS_EG_BTU.PEL-NEW-99.A,174,117,146,128,135,51,59,35,20,13,8,5,12,23,21,7,8,13,2,2,3,18,4,--,--
New England : petroleum coke,million MMBtu,ELEC.CONS_EG_BTU.PC-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--
New England : natural gas,million MMBtu,ELEC.CONS_EG_BTU.NG-NEW-99.A,269,361,370,375,384,401,414,387,385,445,477,477,401,367,415,399,379,382,362,376,408,408,422,--,--
Connecticut,,ELEC.CONS_EG_BTU..A,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut : coal,million MMBtu,ELEC.CONS_EG_BTU.COW-CT-99.A,37,33,41,42,40,43,37,43,24,26,6,7,8,9,7,2,3,4,1,0,3,0,0,0,0
Connecticut : petroleum liquids,million MMBtu,ELEC.CONS_EG_BTU.PEL-CT-99.A,54,24,23,18,34,15,15,6,4,5,2,2,3,6,4,1,2,4,0,1,1,4,2,1,2
Connecticut : petroleum coke,million MMBtu,ELEC.CONS_EG_BTU.PC-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0
Connecticut : natural gas,million MMBtu,ELEC.CONS_EG_BTU.NG-CT-99.A,34,69,45,58,64,77,74,60,72,88,113,124,119,112,132,131,117,145,153,168,173,174,178,185,174
Maine,,ELEC.CONS_EG_BTU..A,,,,,,,,,,,,,,,,,,,,,,,,,
Maine : coal,million MMBtu,ELEC.CONS_EG_BTU.COW-ME-99.A,5,6,4,4,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maine : petroleum liquids,million MMBtu,ELEC.CONS_EG_BTU.PEL-ME-99.A,23,12,20,12,14,4,7,4,4,3,2,1,3,3,6,1,2,2,0,0,0,3,1,1,2
Maine : petroleum coke,million MMBtu,ELEC.CONS_EG_BTU.PC-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : natural gas,million MMBtu,ELEC.CONS_EG_BTU.NG-ME-99.A,71,102,71,73,64,56,50,56,55,61,52,46,38,31,21,24,15,17,12,13,23,29,28,45,48
Massachusetts,,ELEC.CONS_EG_BTU..A,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts : coal,million MMBtu,ELEC.CONS_EG_BTU.COW-MA-99.A,108,115,107,103,117,110,118,105,91,82,41,23,41,28,23,20,12,0,0,0,0,0,0,0,0
Massachusetts : petroleum liquids,million MMBtu,ELEC.CONS_EG_BTU.PEL-MA-99.A,89,70,80,75,70,27,33,23,9,3,2,2,4,10,8,4,3,5,1,0,1,7,1,2,4
Massachusetts : petroleum coke,million MMBtu,ELEC.CONS_EG_BTU.PC-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts : natural gas,million MMBtu,ELEC.CONS_EG_BTU.NG-MA-99.A,102,133,179,165,161,179,194,165,160,197,198,191,165,144,167,161,165,137,115,106,113,118,110,122,135
New Hampshire,,ELEC.CONS_EG_BTU..A,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire : coal,million MMBtu,ELEC.CONS_EG_BTU.COW-NH-99.A,40,40,42,43,44,45,45,40,33,34,24,14,17,15,11,5,4,8,4,2,3,4,2,3,3
New Hampshire : petroleum liquids,million MMBtu,ELEC.CONS_EG_BTU.PEL-NH-99.A,6,8,22,23,16,5,4,2,2,1,1,0,1,3,2,0,1,2,0,0,1,4,1,0,2
New Hampshire : petroleum coke,million MMBtu,ELEC.CONS_EG_BTU.PC-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : natural gas,million MMBtu,ELEC.CONS_EG_BTU.NG-NH-99.A,1,2,32,41,50,44,42,51,40,41,49,52,31,33,44,35,27,22,27,27,33,33,32,33,40
Rhode Island,,ELEC.CONS_EG_BTU..A,,,,,,,,,,,,,,,,,,,,,,,,,
