description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Retail sales of electricity,million kilowatthours,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,million kilowatthours,ELEC.SALES.US-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all sectors,million kilowatthours,ELEC.SALES.US-ALL.A,3394458,3465466,3493734,3547479,3660969,3669919,3764561,3733965,3596795,3754841,3749846,3694650,3724868,3764700,3758992,3762462,3723356,3859185,3811150,3717674,3805874,3927169,3874253,3975382,4058007
United States : residential,million kilowatthours,ELEC.SALES.US-RES.A,1201607,1265180,1275824,1291982,1359227,1351520,1392241,1380662,1364758,1445708,1422801,1374515,1394812,1407208,1404096,1411058,1378648,1469093,1440289,1464605,1470487,1509233,1450025,1482874,1514993
United States : commercial,million kilowatthours,ELEC.SALES.US-COM.A,1083069,1104497,1198728,1230425,1275079,1299744,1336315,1336133,1306853,1330199,1328057,1327101,1337079,1352158,1360752,1367191,1352888,1381755,1360877,1287440,1328439,1390873,1408109,1450941,1493486
United States : industrial,million kilowatthours,ELEC.SALES.US-IND.A,996609,990238,1012373,1017850,1019156,1011298,1027832,1009516,917416,971221,991316,985714,985352,997576,986508,976715,984298,1000673,1002353,959082,1000613,1020464,1009256,1034584,1042217
United States : transportation,million kilowatthours,ELEC.SALES.US-TRA.A,--,--,6810,7224,7506,7358,8173,7653,7768,7712,7672,7320,7625,7758,7637,7497,7523,7665,7632,6548,6334,6599,6864,6983,7311
United States : other,million kilowatthours,ELEC.SALES.US-OTH.A,113174,105552,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New England,million kilowatthours,ELEC.SALES.NEW-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
New England : all sectors,million kilowatthours,ELEC.SALES.NEW-ALL.A,118483,119728,123438,125249,127862,124501,128241,123051,119171,123331,120995,120456,121357,119983,120170,117802,115458,118634,114458,111846,113799,114491,111329,111899,114329
New England : residential,million kilowatthours,ELEC.SALES.NEW-RES.A,42359,44089,46250,46703,48701,46490,47717,46290,45893,48577,47481,47208,48369,47212,47482,46532,45849,48099,46173,48328,48598,48452,46664,48025,49414
New England : commercial,million kilowatthours,ELEC.SALES.NEW-COM.A,49424,49939,52389,53683,54777,54171,56808,54657,45226,45948,45018,44864,44938,53107,53383,52753,52190,52924,51503,47469,49061,49946,49271,48994,49855
New England : industrial,million kilowatthours,ELEC.SALES.NEW-IND.A,25219,24152,24315,24267,23792,23276,23115,21583,27508,28237,27927,27818,27472,19107,18733,17965,16867,17054,16234,15583,15662,15601,14909,14376,14563
New England : transportation,million kilowatthours,ELEC.SALES.NEW-TRA.A,--,--,484,596,592,563,601,522,544,568,569,566,577,557,572,552,553,557,547,467,478,493,484,504,497
