description,units,source key,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total consumption (Btu) for all sectors,million MMBtu,,,,,,,,,,,,,,,,,,,
United States,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
United States : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-US-99.A,21052,18703,19687,18554,16288,16911,16864,14525,13322,12904,12316,10414,8432,9708,9091,7422,7185,7992
United States : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-US-99.A,378,315,273,187,153,160,207,191,147,140,185,135,116,139,194,144,136,161
United States : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-US-99.A,180,166,173,176,144,180,160,147,151,123,128,99,107,107,101,72,60,70
United States : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-US-99.A,7901,8138,8694,8913,10606,9719,9687,11327,11704,11032,12444,13241,13655,13151,14034,14930,15510,15081
New England,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
New England : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-NEW-99.A,198,153,149,75,49,68,56,44,30,21,14,7,3,8,5,3,--,--
New England : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-NEW-99.A,44,28,17,12,7,18,25,23,9,10,14,4,3,4,20,6,--,--
New England : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--
New England : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-NEW-99.A,407,404,465,498,496,424,389,437,428,411,417,398,412,441,440,452,--,--
Connecticut,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
Connecticut : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-CT-99.A,45,26,29,6,9,8,9,7,2,3,4,1,0,3,0,0,0,0
Connecticut : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-CT-99.A,6,4,5,2,2,3,6,5,1,2,4,1,1,1,4,2,1,2
Connecticut : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0
Connecticut : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-CT-99.A,66,78,92,118,128,125,116,135,138,125,154,162,175,181,182,186,193,181
Maine,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
Maine : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-ME-99.A,6,2,2,2,1,2,2,3,2,2,2,2,2,2,1,1,1,1
Maine : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-ME-99.A,12,9,6,5,2,5,5,7,2,2,3,1,1,1,4,1,1,3
Maine : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-ME-99.A,63,60,67,58,53,47,42,31,31,21,23,19,20,31,36,33,50,52
Massachusetts,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
Massachusetts : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-MA-99.A,107,92,84,43,24,42,30,24,20,12,0,0,0,0,0,0,0,0
Massachusetts : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-MA-99.A,24,12,4,2,2,4,10,8,4,3,5,1,1,1,7,1,2,4
Massachusetts : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-MA-99.A,172,168,205,205,198,172,151,174,174,183,156,135,126,128,134,126,137,150
New Hampshire,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
New Hampshire : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-NH-99.A,40,33,34,24,14,17,15,11,5,4,8,4,2,3,4,2,3,3
New Hampshire : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-NH-99.A,2,3,1,2,1,2,3,2,1,1,2,1,1,1,4,1,1,2
New Hampshire : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-NH-99.A,51,40,41,49,53,31,33,45,35,27,23,27,27,34,33,32,33,40
Rhode Island,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
Rhode Island : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-RI-99.A,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-RI-99.A,0,0,0,0,0,3,1,1,0,1,1,0,0,0,1,0,0,1
Rhode Island : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-RI-99.A,56,59,60,67,64,49,47,53,50,55,62,56,63,67,55,75,69,73
Vermont,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
Vermont : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-VT-99.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NM
Vermont : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-VT-99.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
Middle Atlantic : coal,million MMBtu,ELEC.CONS_TOT_BTU.COW-MAT-99.A,1519,1297,1369,1210,1003,1002,915,735,626,534,495,419,272,335,277,155,--,--
Middle Atlantic : petroleum liquids,million MMBtu,ELEC.CONS_TOT_BTU.PEL-MAT-99.A,55,40,28,18,11,17,35,30,13,11,29,10,6,10,24,6,--,--
Middle Atlantic : petroleum coke,million MMBtu,ELEC.CONS_TOT_BTU.PC-MAT-99.A,5,4,5,4,3,3,3,3,2,2,2,1,0,0,0,0,--,--
Middle Atlantic : natural gas,million MMBtu,ELEC.CONS_TOT_BTU.NG-MAT-99.A,758,792,924,998,1191,1113,1171,1281,1394,1283,1346,1456,1593,1633,1743,1801,--,--
New Jersey,,ELEC.CONS_TOT_BTU..A,,,,,,,,,,,,,,,,,,
